追踪ID,推广码,推广者ID,访问者ID,访问时间戳,访问时间,创建时间,记录时间
79,PET52892,USER1580552892,anonymous,1759230207764,2025-09-30 19:03:27,2025-09-30 19:03:28.053042,
78,PET52892,USER1580552892,anonymous,1759230207755,2025-09-30 19:03:27,2025-09-30 19:03:28.041196,
76,PET89691,USER1167689691,anonymous,1759228690665,2025-09-30 18:38:10,2025-09-30 18:38:12.409281,
75,PET89691,USER1167689691,anonymous,1759228690657,2025-09-30 18:38:10,2025-09-30 18:38:12.403692,
73,PET67221,USER1959667221,anonymous,1759224150676,2025-09-30 17:22:30,2025-09-30 17:22:40.795401,
72,PET67221,USER1959667221,anonymous,1759224150668,2025-09-30 17:22:30,2025-09-30 17:22:40.756211,
70,PET67221,USER1959667221,anonymous,1759224119367,2025-09-30 17:21:59,2025-09-30 17:21:59.566809,
69,PET67221,USER1959667221,anonymous,1759224119359,2025-09-30 17:21:59,2025-09-30 17:21:59.553029,
68,PET61914,USER0655561914,anonymous,1759224098051,2025-09-30 17:21:38,2025-09-30 17:21:39.333593,
67,PET61914,USER0655561914,anonymous,1759224098043,2025-09-30 17:21:38,2025-09-30 17:21:39.323644,
66,PET61914,USER0655561914,anonymous,1759224024141,2025-09-30 17:20:24,2025-09-30 17:20:24.281980,
65,PET61914,USER0655561914,anonymous,1759224024133,2025-09-30 17:20:24,2025-09-30 17:20:24.281282,
64,PET61914,USER0655561914,anonymous,1759224000591,2025-09-30 17:20:00,2025-09-30 17:20:00.728915,
63,PET61914,USER0655561914,anonymous,1759224000580,2025-09-30 17:20:00,2025-09-30 17:20:00.718730,
61,PET61914,USER0655561914,anonymous,1759223438101,2025-09-30 17:10:38,2025-09-30 17:10:38.500019,
62,PET61914,USER0655561914,anonymous,1759223438082,2025-09-30 17:10:38,2025-09-30 17:10:38.500281,
59,PET61914,USER0655561914,anonymous,1759222019697,2025-09-30 16:46:59,2025-09-30 16:47:00.446598,
58,PET61914,USER0655561914,anonymous,1759222019685,2025-09-30 16:46:59,2025-09-30 16:47:00.441359,
57,PET61914,USER0655561914,anonymous,1759221046318,2025-09-30 16:30:46,2025-09-30 16:30:46.459897,
56,PET61914,USER0655561914,anonymous,1759221046314,2025-09-30 16:30:46,2025-09-30 16:30:46.447071,
53,PET10224,USER1812510224,anonymous,1759218856305,2025-09-30 15:54:16,2025-09-30 15:54:16.416015,
54,PET10224,USER1812510224,anonymous,1759218856301,2025-09-30 15:54:16,2025-09-30 15:54:16.418881,
51,PET61914,USER0655561914,anonymous,1759218625783,2025-09-30 15:50:25,2025-09-30 15:50:25.882867,
50,PET61914,USER0655561914,anonymous,1759218625780,2025-09-30 15:50:25,2025-09-30 15:50:25.877276,
48,PET61914,USER0655561914,anonymous,1759203169136,2025-09-30 11:32:49,2025-09-30 11:32:49.303215,
49,PET61914,USER0655561914,anonymous,1759203169117,2025-09-30 11:32:49,2025-09-30 11:32:49.305139,
46,PET61914,USER0655561914,anonymous,1759203094158,2025-09-30 11:31:34,2025-09-30 11:31:34.250967,
45,PET61914,USER0655561914,anonymous,1759203094154,2025-09-30 11:31:34,2025-09-30 11:31:34.244160,
44,PET61914,USER0655561914,anonymous,1759202120686,2025-09-30 11:15:20,2025-09-30 11:15:20.815621,
43,PET61914,USER0655561914,anonymous,1759202120681,2025-09-30 11:15:20,2025-09-30 11:15:20.812682,
41,PET61914,USER0655561914,anonymous,1759202065512,2025-09-30 11:14:25,2025-09-30 11:14:25.685685,
40,PET61914,USER0655561914,anonymous,1759202065496,2025-09-30 11:14:25,2025-09-30 11:14:25.683219,
39,PET89691,USER1167689691,anonymous,1759147588410,2025-09-29 20:06:28,2025-09-29 20:06:28.659304,
38,PET89691,USER1167689691,anonymous,1759140960421,2025-09-29 18:16:00,2025-09-29 18:16:00.790339,
37,PET89691,USER1167689691,anonymous,1759138274497,2025-09-29 17:31:14,2025-09-29 17:31:14.935627,
36,PET89691,USER1167689691,anonymous,1759137587709,2025-09-29 17:19:47,2025-09-29 17:19:47.874962,
35,PET89691,USER1167689691,anonymous,1759137449179,2025-09-29 17:17:29,2025-09-29 17:17:29.498611,
31,PET05372,USER0299405372,anonymous,1759129485851,2025-09-29 15:04:45,2025-09-29 15:04:45.980859,
30,PET05372,USER0299405372,anonymous,1759129485846,2025-09-29 15:04:45,2025-09-29 15:04:45.975172,
29,PET05372,USER0299405372,anonymous,1759128903740,2025-09-29 14:55:03,2025-09-29 14:55:03.946830,
28,PET05372,USER0299405372,anonymous,1759128903733,2025-09-29 14:55:03,2025-09-29 14:55:03.866363,
27,PET05372,USER0299405372,anonymous,1759128779812,2025-09-29 14:52:59,2025-09-29 14:52:59.955117,
26,PET05372,USER0299405372,anonymous,1759128779808,2025-09-29 14:52:59,2025-09-29 14:52:59.949289,
25,PET05372,USER0299405372,anonymous,1759128768072,2025-09-29 14:52:48,2025-09-29 14:52:48.190941,
24,PET05372,USER0299405372,anonymous,1759128768069,2025-09-29 14:52:48,2025-09-29 14:52:48.186294,
23,PET05372,USER0299405372,anonymous,1759128756394,2025-09-29 14:52:36,2025-09-29 14:52:36.432514,
22,PET05372,USER0299405372,anonymous,1759128756391,2025-09-29 14:52:36,2025-09-29 14:52:36.428085,
20,PET05372,USER0299405372,anonymous,1759128697017,2025-09-29 14:51:37,2025-09-29 14:51:37.535184,
19,PET05372,USER0299405372,anonymous,1759128697012,2025-09-29 14:51:37,2025-09-29 14:51:37.512390,
